College_ID,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0030,6.61,6.28,8,No,8,8,4,No
CLG0061,5.52,5.37,8,No,7,8,0,No
CLG0036,5.36,5.83,9,No,3,1,1,No
CLG0055,5.47,5.75,6,Yes,1,6,1,No
CLG0004,7.91,7.69,7,No,8,10,2,No
CLG0015,5.26,5.32,7,No,5,8,0,No
CLG0071,6.68,6.58,5,No,7,8,2,Yes
CLG0096,8.77,8.76,7,No,3,1,2,Yes
CLG0097,6.47,6.33,9,No,7,8,5,No
CLG0057,8.82,8.6,4,No,5,9,1,No
CLG0063,8.73,8.9,2,Yes,5,6,0,No
CLG0077,6.23,6.51,8,No,5,7,4,No
CLG0064,8.64,9.01,7,Yes,8,6,1,No
CLG0017,8.74,8.4,6,No,0,5,2,No
CLG0053,6.99,7.31,7,No,0,1,2,No
CLG0040,6.05,5.8,3,No,4,2,3,No
CLG0070,7.61,7.54,6,No,0,10,0,No
CLG0050,9.61,10.01,10,Yes,9,2,4,No
CLG0068,8.2,8.15,7,No,8,9,4,Yes
CLG0015,5.86,5.56,7,Yes,3,6,2,No
CLG0072,8.41,8.07,5,Yes,1,3,3,Yes
CLG0034,7.14,7.11,3,Yes,2,3,3,No
CLG0030,7.96,8.22,2,Yes,8,10,0,No
CLG0087,8.67,9.17,7,Yes,10,10,2,Yes
CLG0073,7.57,7.86,4,Yes,7,2,2,No
CLG0024,9.07,9.45,2,No,2,7,2,No
CLG0008,8.61,8.86,8,No,7,1,0,No
CLG0057,8.08,8.48,2,No,3,1,4,No
CLG0070,5.75,5.33,6,Yes,5,10,1,No
CLG0025,9.18,9.61,4,Yes,3,3,3,No
CLG0077,9.68,9.58,9,Yes,10,1,4,No
CLG0034,5.68,6.1,5,No,4,3,1,No
CLG0025,7.44,7.02,4,No,9,9,4,No
CLG0018,6.29,6.51,8,No,8,7,4,No
CLG0073,8.77,9.01,3,Yes,1,9,4,Yes
CLG0097,8.61,9.11,9,Yes,8,7,4,No
CLG0070,5.7,5.97,8,Yes,2,9,2,No
CLG0014,9.39,9.27,8,No,4,3,4,No
CLG0006,5.9,5.96,10,Yes,6,7,1,No
CLG0082,8.99,8.86,5,No,1,6,1,No
CLG0090,7.28,6.98,1,No,3,2,3,No
CLG0036,6.64,6.39,10,No,0,6,5,No
CLG0036,5.79,5.51,9,No,10,3,0,No
CLG0075,5.84,5.89,2,Yes,2,2,1,No
CLG0018,8.31,8.72,1,Yes,5,5,1,No
CLG0015,7.75,8.16,6,Yes,1,5,1,No
CLG0094,5.61,5.16,1,Yes,7,2,1,No
CLG0089,5.56,5.14,10,Yes,6,3,0,No
CLG0016,5.36,5.11,10,No,2,8,0,No
CLG0076,8.72,8.48,10,Yes,0,5,5,No
CLG0014,8.56,8.15,7,No,9,8,4,Yes
CLG0047,5.29,5.18,7,Yes,3,10,5,No
CLG0054,7.8,7.89,1,Yes,3,4,1,No
CLG0058,5.42,5.5,10,No,10,4,1,No
CLG0077,9.52,9.56,5,No,4,6,3,Yes
CLG0030,9.54,9.38,3,No,2,10,3,Yes
CLG0100,8.49,8.7,2,No,10,5,3,No
CLG0046,9.63,9.96,5,No,1,5,3,No
